N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
4,1,ring,0.99,2,0,0,0,2.70176968208722,3.26725635973339
4,2,ring,0.99,2,0,0,0,2.89026524130261,3.26725635973339
4,3,ring,0.99,2,0,0,0,3.0159289474462,3.39292006587698
4,4,ring,0.99,2,0,0,0,2.63893782901543,3.33008821280518
4,1,ring,0.99,2,0,0,0,2.63893782901543,3.33008821280518
4,2,ring,0.99,2,0,0,0,2.57610597594363,3.45575191894877
4,3,ring,0.99,2,0,0,0,2.63893782901543,3.26725635973339
4,4,ring,0.99,2,0,0,0,2.70176968208722,3.26725635973339
4,1,ring,0.99,2,0,0,0,2.13628300444106,3.51858377202057
4,2,ring,0.99,2,0,0,0,2.51327412287183,3.20442450666159
4,3,ring,0.99,2,0,0,0,2.95309709437441,3.26725635973339
4,4,ring,0.99,2,0,0,0,2.70176968208722,3.20442450666159
5,1,ring,0.99,2,0,0,0,2.26194671058465,3.45575191894877
5,2,ring,0.99,2,0,0,0,2.70176968208722,3.26725635973339
5,3,ring,0.99,2,0,0,0,2.32477856365645,3.26725635973339
5,4,ring,0.99,2,0,0,0,2.63893782901543,3.26725635973339
5,5,ring,0.99,2,0,0,0,2.76460153515902,3.14159265358979
5,1,ring,0.99,2,0,0,0,2.51327412287183,3.20442450666159
5,2,ring,0.99,2,0,0,0,2.38761041672824,3.39292006587698
5,3,ring,0.99,2,0,0,0,2.38761041672824,3.45575191894877
5,4,ring,0.99,2,0,0,0,2.32477856365645,3.33008821280518
5,5,ring,0.99,2,0,0,0,2.51327412287183,3.26725635973339
5,1,ring,0.99,2,0,0,0,2.63893782901543,3.20442450666159
5,2,ring,0.99,2,0,0,0,2.82743338823081,3.39292006587698
5,3,ring,0.99,2,0,0,0,2.76460153515902,3.39292006587698
5,4,ring,0.99,2,0,0,0,2.89026524130261,3.33008821280518
5,5,ring,0.99,2,0,0,0,2.89026524130261,3.20442450666159
6,1,ring,0.99,2,0,0,0,2.63893782901543,3.33008821280518
6,2,ring,0.99,2,0,0,0,2.82743338823081,3.39292006587698
6,3,ring,0.99,2,0,0,0,2.45044226980004,3.26725635973339
6,4,ring,0.99,2,0,0,0,2.57610597594363,3.26725635973339
6,5,ring,0.99,2,0,0,0,2.57610597594363,3.14159265358979
6,6,ring,0.99,2,0,0,0,2.76460153515902,3.33008821280518
6,1,ring,0.99,2,0,0,0,2.51327412287183,3.14159265358979
6,2,ring,0.99,2,0,0,0,2.51327412287183,3.26725635973339
6,3,ring,0.99,2,0,0,0,2.32477856365645,3.33008821280518
6,4,ring,0.99,2,0,0,0,2.89026524130261,3.26725635973339
6,5,ring,0.99,2,0,0,0,2.57610597594363,3.26725635973339
6,6,ring,0.99,2,0,0,0,2.38761041672824,3.14159265358979
6,1,ring,0.99,2,0,0,0,2.89026524130261,3.45575191894877
6,2,ring,0.99,2,0,0,0,2.63893782901543,3.26725635973339
6,3,ring,0.99,2,0,0,0,2.57610597594363,3.33008821280518
6,4,ring,0.99,2,0,0,0,2.38761041672824,3.33008821280518
6,5,ring,0.99,2,0,0,0,2.32477856365645,3.20442450666159
6,6,ring,0.99,2,0,0,0,2.51327412287183,3.20442450666159
5,1,lop3,0.99,3,0,0,0,2.26194671058465,3.45575191894877
5,2,lop3,0.99,3,0,0,0,2.01061929829747,3.58141562509236
5,3,lop3,0.99,3,0,0,0,2.26194671058465,3.45575191894877
5,4,lop3,0.99,3,0,0,0,2.07345115136926,3.58141562509236
5,5,lop3,0.99,3,0,0,0,2.26194671058465,3.51858377202057
5,1,lop3,0.99,3,0,0,0,2.07345115136926,3.33008821280518
5,2,lop3,0.99,3,0,0,0,2.38761041672824,3.45575191894877
5,3,lop3,0.99,3,0,0,0,2.07345115136926,3.51858377202057
5,4,lop3,0.99,3,0,0,0,2.07345115136926,3.51858377202057
